Habitat,ISO3,Citation
seagrasses,AUS,"Cambridge, M. L., Chiffings, A. W., Brittan, C., Moore, L., & McComb, A. J. (1986). The loss of seagrass in Cockburn Sound, Western Australia. II. Possible causes of seagrass decline. Aquatic Botany, 24(3), 269-285."
seagrasses,AUS,"Centre for Marine Studies: Marine Botany, University of Queensland. 1997. Moreton Bay Biota."
seagrasses,AUS,"Clarke, S.M. & Kirkman, H. (1989). Seagrass dynamics. 304-345."
seagrasses,AUS,"Coles, R., McKenzie, L. & Campbell, S. (2003). The Seagrasses of Eastern Australia.  In: World Atlas of Seagrasses. Green EP and Short FT, eds. Berkeley, California (USA): University of California Press."
seagrasses,AUS,"Coles, R.G. & Lee Long, W.J. (1999). Seagrasses. In: Marine/Coastal Biodiversity in the Tropical Island Pacific Region. Volume 2: population, development and conservation priorities. Workshop proceedings: 21-46."
seagrasses,AUS,"Coles, R.G., Lee Long, W.J., Watson, R.A. & Derbyshire, K.J. (1993). Distribution of seagrasses and their fish and penaeid prawn communities in Cairns Harbour, a tropical estuary, Northern Queensland, Australia. Aust. J. Mar. Freshwater Res. 44(1): 193-210."
seagrasses,AUS,"Coles, R.G., McKenzie, L.J. & Yoshida, R.L. (2001).  Validation and GIS of seagrass surveys between Cape York and Cairns - November 1984.: CD-ROM."
seagrasses,AUS,"Coles, R.G., McKenzie, L.J. & Yoshida, R.L. (2001). Validation and GIS of seagrass surveys between Bowen and Water Park Point, March/April 1987.: CD-ROM."
seagrasses,AUS,"Coles, R.G., McKenzie, L.J. & Yoshida, R.L. (2001). Validation and GIS of seagrass surveys between Cape York and Cairns - November 1984.: CD-ROM."
seagrasses,AUS,"Coles, R.G., McKenzie, L.J. & Yoshida, R.L. (2001). Validation and GIS of seagrass surveys between Tarrant Point to Cape York - October / November 1986.: CD-ROM."
seagrasses,AUS,"Coles, R.G., McKenzie, L.J., Lee Long, W.J. & Roelofs, A.J. (2001). Great Barrier reef WHA deepwater seagrasses - November 1994-1999.: CD-ROM."
seagrasses,AUS,"Coles, R.G., McKenzie, L.J., Mellors, J.E. & Yoshida, R.L. (2001). Validation and GIS of seagrass surveys between Cairns and Bowen - October / November 1987.: CD-ROM."
cold-water corals,AUS,Commonwelath Scientific and Industrial Research Organisation (CSIRO). 2008.
cold-water corals,AUS,Commonwelath Scientific and Industrial Research Organisation (CSIRO). 1997.
cold-water corals,AUS,Commonwelath Scientific and Industrial Research Organisation (CSIRO). 2005.
cold-water corals,AUS,Commonwelath Scientific and Industrial Research Organisation (CSIRO). 2007.
coralreefs,AUS,"CSIRO Marine Research. (1998) The Ashmore-Cartier-Scott-Seringapatam-Hibernia reef data. Collected by CSIRO Marine Research and provided to Australian Government, Department of Environment Water Heritage and the Arts."
cold-water corals,AUS,Davies A.J. & Guinotte J.M. (2011) Global Habitat Suitability for Framework-Forming Cold-Water Corals. PLoS ONE 6(4): e18483. DOI: https://doi.org/10.1371/journal.pone.0018483
saltmarshes,AUS,"DECCW (2010). NSW Monitoring Evaluation and Reporting Program - Estuaries (including macrophyte detail). Parramatta (Australia): NSW Department of Environment, Climate Change and Water. URL: http://mapdata.environment.nsw.gov.au/"
mangroves,AUS,"Department of Agriculture and Water Resources, Forests of Australia 2003"
saltmarshes,AUS,"Dyall A., Tobin G., Galinec V., Creasey J., Gallagher J., Ryan D., Heap A. & Murray E. (2004). Queensland coastal waterways geomorphic habitat mapping (1:100 000 scale digital data) Canberra: Commonwealth of Australia, Geoscience Australia. URL: www.ozestuaries.org"
seagrasses,AUS,"Edgar, G. J., & Robertson, A. I. (1992). The influence of seagrass structure on the distribution and abundance of mobile epifauna: pattern and process in a Western Australian Amphibolis bed. Journal of Experimental Marine Biology and Ecology, 160(1), 13-31."
seagrasses,AUS,EPA. (1997). Seagrasses in Western Port. EPA Information Bulletin: 4.
cold-water corals,AUS,"Goldstein, S. J., Lea, D. W., Chakraborty, S., Kashgarian, M., & Murrell, M. T. (2001). Uranium-series and radiocarbon geochronology of deep-sea corals: implications for Southern Ocean ventilation rates and the oceanic carbon cycle. Earth and Planetary Science Letters, 193(1-2), 167-182."
coralreefs,AUS,Great Barrier Reef Marine Park Authority (2007) Coastal features within and adjacent to the Great Barrier Reef World Heritage area
seagrasses,AUS,"Green, E. P., Short, F. T., & UNEP-WCMC. (2003). World Atlas of Seagrasses. University of California Press."
cold-water corals,AUS,"Grygier, M. J., & Cairns, S. D. (1996). Suspected neoplasms in deep-sea corals (Scleractinia: Oculinidae: Madrepora spp.) reinterpreted as galls caused by Petrarca madreporae n. sp.(Crustacea: Ascothoracida: Petrarcidae). Diseases of aquatic Organisms, 24(1), 61-69."
seagrasses,AUS,"Hutchings, P. (1994). Jervis Bay Infauna Data from Seagrass Beds 1988-1991."
seagrasses,AUS,"Hyland, S.J., Courtney, A.J., Butler, C.T. 1989. Distribution of seagrass in the Moreton Bay region from Coolangatta to Noosa. Queensland Department of Primary Industries Information Series QI89010 (QFS, Brisbane)"
coralreefs,AUS,"IMaRS-USF (Institute for Marine Remote Sensing-University of South Florida) (2005). Millennium Coral Reef Mapping Project. Unvalidated maps. These maps are unendorsed by IRD, but were further interpreted by UNEP World Conservation Monitoring Centre. Cambridge (UK): UNEP World Conservation Monitoring Centre"
coralreefs,AUS,"IMaRS-USF, IRD (Institut de Recherche pour le Developpement) (2005). Millennium Coral Reef Mapping Project. Validated maps. Cambridge (UK): UNEP World Conservation Monitoring Centre"
seagrasses,AUS,"IUCN & UNEP-WCMC. (2003). The World Database on Protected Areas (WDPA) [On-line]. Cambridge, UK: UNEP-WCMC. Available at: www.protectedplanet.net."
seagrasses,AUS,"Jones, T. (1993). A directory of wetlands of international importance. Ramsar Convention Bureau, Gland, Switzerland."
seagrasses,AUS,"Jordan, A. R. (2001). Reproductive biology, early life-history and settlement distribution of sand flathead (Platycephalus bassensis) in Tasmania. Marine and Freshwater Research, 52(4), 589-601."
seagrasses,AUS,"Jordan, A., Mills, D., Ewing, G. & Lyle, J. (1998). Assessment of inshore habitats around Tasmania for life-history stages of commercial finfish species. Final report to the Fisheries Research and Development Corporation (FRDC Project No 94/037).: 176."
seagrasses,AUS,"Kendrick GA.., Eckersley J. & Walker D.I. (1999). Landscape-scale changes in seagrass distribution over time: a case study from Success Bank, Western Australia. Aquatic Botany 65(1-4): 293-309. DOI: https://doi.org/10.1016/S0304-3770(99)00047-9"
seagrasses,AUS,"Kirkman H. (1978). Decline of seagrass in northern areas of Moreton Bay, Queensland. Aquatic Botany 5: 63-76. DOI: 10.1016/0304-3770(78)90047-5"
seagrasses,AUS,"Kirkman H. (1997). Seagrasses of Australia. Australia: State of the Environment Technical Paper Series (Estuaries and the Sea), Department of the Environment, Canberra."
seagrasses,AUS,"Kirkman, H. (1987). Decline of Seagrass Beds in Princess Royal Harbour and Oyster Harbour, Albany, Western Australia. Technical Series No. 15"
seagrasses,AUS,"Kirkman, H. 2001. [Personal communication]."
seagrasses,AUS,"Kirkman, H., & Kuo, J. (1996). Seagrasses of the Southern Coast of Western Australia (pp. 51-56). The University of Western Australia."
seagrasses,AUS,"Kirkman, H., & Walker, D. I. (1989). Regional studies: Western Australian seagrass."
cold-water corals,AUS,"Kölliker, A. (1880). Report on the Pennatulida dredged by H.M.S. Challenger during the years 1873-1877"
cold-water corals,AUS,"Koslow, J. A., & Gowlett-Holmes, K. (1998). The seamount fauna off southern Tasmania: benthic communities, their conservation and impacts of trawling."
cold-water corals,AUS,"Koslow, J. A., Gowlett-Holmes, K., Lowry, J. K., O'Hara, T., Poore, G. C. B., & Williams, A. (2001). Seamount benthic macrofauna off southern Tasmania: community structure and impacts of trawling. Marine Ecology Progress Series, 213, 111-125. DOI: https://doi.org/10.3354/meps213111"
cold-water corals,AUS,"Koslow, J.A. (2005). Electronic Database of Tasmanian Seamount Fish Data."
seagrasses,AUS,"Kuo J., Long W.L. & Coles, R.G. (1993). Occurrence and fruit and seed biology of Halophila tricostata Greenway (Hydrocharitaceae). Aust. J. Mar. Freshwater Res. 43: 43-57."
seagrasses,AUS,"Kuo, J., & Kirkman, H. (1995). Halophila decipiens Ostenfeld in estuaries of southwestern Australia. Aquatic Botany, 51(3-4). Pp.335-340. DOI: https://doi.org/10.1016/0304-3770(95)00468-F"
seagrasses,AUS,"Larkum, A. W. D. (1995). Halophila capricorni (Hydrocharitaceae): a new species of seagrass from the Coral Sea. Aquatic Botany, 51(3-4). Pp. 319-328. DOI: https://doi.org/10.1016/0304-3770(95)00474-E"
seagrasses,AUS,"Larkum, A. W. D., & West, R. J. (1990). Long-term changes of seagrass meadows in Botany Bay, Australia. Aquatic Botany, 37(1), 55-70."
seagrasses,AUS,"Linke, T. E., Platell, M. E., & Potter, I. C. (2001). Factors influencing the partitioning of food resources among six fish species in a large embayment with juxtaposing bare sand and seagrass habitats. Journal of Experimental Marine Biology and Ecology, 266(2), pp. 193-217. DOI: https://doi.org/10.1016/S0022-0981(01)00356-2"
seagrasses,AUS,"Longstaff, B.J. & Dennison, W.C. (1999). Seagrass survival during pulsed turbidity events: the effects of light deprivation on the seagrass _Halodule pinfolia_ and _Halophila ovalis_. 105-121."
