Habitat,ISO3,Citation
seagrasses,AUS,"McKenzie, L.J., Long, W.J.L. & Bradshaw E.J. (1995). Distribution of seagrasses in the Lizard Island Group - a reconnaissance survey, October 1995. CRC Reef Research Technical Report. Townsville, QLD: CRC Reef Research Centre."
seagrasses,AUS,"McLachlan MS, Haynes D, Muller JF. 2001. PCDDs in the water/sediment-seagrass-dugong (Dugong dugon) food chain on the Great Barrier Reef (Australia). Environmental Pollution 113(2): 129-134. DOI: https://doi.org/10.1016/S0269-7491(00)00172-X"
seagrasses,AUS,Mellors JE. (1991). An evaluation of a rapid visual technique for estimating seagrass biomass. Aquatic Botany 42(1): 67-73.
cold-water corals,AUS,"Montagna, P., McCulloch, M., Taviani, M., Remia, A., & Rouse, G. (2005). High-resolution trace and minor element compositions in deep-water scleractinian corals (Desmophyllum dianthus) from the Mediterranean Sea and the Great Australian Bight. In Cold-Water Corals and Ecosystems (pp. 1109-1126). Springer, Berlin, Heidelberg."
seagrasses,AUS,"Mukai, H. 1993. Biogeography of tropical seagrasses in the Western Pacific. 1-17."
mangroves,AUS,"NASA Landsat Program, 2003, Landsat Imagery, USGS, Sioux Falls, 10/26/2003"
seagrasses,AUS,National Geographic Society (2000). Coral World. 1:28 510 000. 1 pp.
coralreefs,AUS,"Petroconsultants SA (1990). Mundocart/CD. Version 2.0. 1: 1 000 000 world map prepared from the Operational Navigational Charts of the United States Defense Mapping Agency. Petroconsulants (CES) Ltd, London, UK."
seagrasses,AUS,"Poiner, I.R., Walker, D.I., Coles, R.G. 1989. Regional studies- seagrasses of tropical Australia. 279-303."
seagrasses,AUS,Preen A. 1995. Impacts of dugong foraging on seagrass habitats: observational and experimental evidence for cultivation grazing. Marine Ecology Progress Series 124: 201-213.
seagrasses,AUS,"Schaffelke, B., & Klumpp, D. W. (1996). Biomass and productivity of a tropical seagrass community in north-west Australia (Exmouth Gulf). Seagrass biology, 13-20."
seagrasses,AUS,"Shaw, J. (2000). Section 3: Physical and biological environment. In Fisheries Environmental Management Review - Gascoyne Region. Perth: Fisheries Western Australia."
seagrasses,AUS,"Shepherd, S.A. & Robertson E.L. (1989). Regional studies - seagrasses of South Australia, western Victoria and Bass Strait. In: Biology of Seagrasses: a Treatise on the Biology of Seagrasses with Specieal Reference to the Australian region (Eds A.W.D. Larkum, A.J. McComb and S.A. Shepherd). Elsevier, Amsterdam, 841 pp."
seagrasses,AUS,"Shepherd, S.A., McComb, A.J., Bulthuis, D.A., Neverauskas, V., Steffensen, D.A., West, R. 1989. Decline of seagrass. 346-393."
seagrasses,AUS,"Sinclair, J. (1990). Fraser Island and Cooloola. Landsdowne."
cold-water corals,AUS,Smithsonian Inst. Records
cold-water corals,AUS,"Studer & Bern, 1889 Zoology Volume LXXXI:  Supplementary Report on the Alcyonaria collected by H.M.S. Challenger during the Years 1873-76. 31 pp. H.M.S. Challenger Reports, Volume 32, 1889"
seagrasses,AUS,The University of Queensland. 1997. Seagrass distribution in Moreton Bay.
coralreefs,AUS,"UNEP/IUCN (1988). Coral Reefs of the World: Volume 3: Central and Western Pacific. UNEP Regional Seas Directories and Bibliographies.  IUCN, Gland, Switzerland and Cambridge, U.K./UNEP, Nairobi, Kenya. Xlix  + 329 pp., 30 maps."
coralreefs,AUS,"UNEP-WCMC (2009).  Coral reef polygons digitized by UNEP-WCMC  on-screen from ArcGISOnline World_Imagery (MapServer) at an approximate scale of 1: 10,000. Source: ESRI, i-cubed, USDA FSA, USGS, AEX, GeoEye, Getmapping."
seagrasses,AUS,"UNEP-WCMC, Short FT (2018). Global distribution of seagrasses (version 6.0). Sixth update to the data layer used in Green and Short (2003). Cambridge (UK): UN Environment World Conservation Monitoring Centre. URL: http://data.unep-wcmc.org/datasets/15"
seagrasses,AUS,"UNESCO World Heritage Centre. (1981). Great Barrier Reef. Retrieved April 30, 2020, from http://whc.unesco.org/en/list/154"
seagrasses,AUS,"UNESCO World Heritage Centre. (1991). Shark Bay, Western Australia. Retrieved April 30, 2020, from http://whc.unesco.org/en/list/578"
seagrasses,AUS,"Verduin, J. J., Walker, D. I., & Kuo, J. (1996). In situ submarine pollination in the seagrass Amphibolis antarctica. Marine Ecology Progress Series, 133, 307-309."
seagrasses,AUS,"Vergeer, L. H. T., & Den Hartog, C. (1994). Omnipresence of Labyrinthulaceae in seagrasses. Aquatic Botany, 48(1), 1-20."
seagrasses,AUS,"Walker DI, Prince RIT. 1987. Distribution and biogeography of seagrass species on the northwest coast of Australia. Aquatic Botany 29(1): 19-32. DOI: https://doi.org/10.1016/0304-3770(87)90026-X."
seagrasses,AUS,"Walker, D. I. (1989). Regional studies-seagrass in Shark Bay, the foundations of an ecosystem. Biology of seagrass, 182-210."
seagrasses,AUS,"Walker, D. I. (2000). The Western Australian region. Seas at the Millennium: An Environmental Evaluation., II(Regional chapters: The Indian Ocean to the Pacific)."
cold-water corals,AUS,"Yabe, H., & Eguchi, M. (1934). On some specific names of corals. Animal and Plant, 111(11), 2026."
cold-water corals,AUS,"Yesson C, Taylor ML, Tittensor DP, Davies AJ, Guinotte J, Baco A, Black J, Hall-Spencer JM, Rogers AD (2012). Global habitat suitability of cold-water Octocorals. Journal of Biogeography 39: 1278-1292. DOI: https://doi.org/10.1111/j.1365-2699.2011.02681.x"
saltmarshes,AZE,BirdLife International & Conservation International (2013). Global Distribution of Important Bird and Biodiversity Areas (IBAs). Cambridge (UK): BirdLife International. URL: http://www.birdlife.org/datazone/site/search
seagrasses,AZE,"Millchakova NA. 2003. The Seagrasses of The Black, Azov, Caspian and Aral Seas. In: World Atlas of Seagrasses. Green EP and Short FT, eds. Berkeley, California (USA): University of California Press."
saltmarshes,BEL,European Environment Agency. (2011). Corine Land Cover 2006 seamless vector data. Version 15 (08/2011). URL: http://www.eea.europa.eu/data-and-maps/data/clc-2006-vector-data-version-1
saltmarshes,BEL,Rijkswaterstaat Dienst Zeeland WSW Netherlands. (2009). Netherland Saltmarshes
mangroves,BEN,"NASA Landsat Program, 2003, Landsat TM 5 & Landsat 7 ETM+, SLC-Off, USGS, Sioux Falls, 10/26/2003."
seagrasses,BEN,National Geographic Society (2000). Coral World. 1:28 510 000. 1 pp.
cold-water corals,BEN,"Yesson C, Taylor ML, Tittensor DP, Davies AJ, Guinotte J, Baco A, Black J, Hall-Spencer JM, Rogers AD (2012). Global habitat suitability of cold-water Octocorals. Journal of Biogeography 39: 1278-1292. DOI: https://doi.org/10.1111/j.1365-2699.2011.02681.x"
seagrasses,BES,Bureau of the Convention on Wetlands. (2003). Ramsar Sites Database Service. Retrieved from https://rsis.ramsar.org
cold-water corals,BES,Davies A.J. & Guinotte J.M. (2011) Global Habitat Suitability for Framework-Forming Cold-Water Corals. PLoS ONE 6(4): e18483. DOI: https://doi.org/10.1371/journal.pone.0018483
mangroves,BES,Eastern Caribbean Natural Area Management Program (ECNAMP). (1980). Aruba. Preliminary Data Atlas. Survey of Conservation Priorities in the Lesser Antilles.
cold-water corals,BES,"Fautin, D. G. (2004). Hexacorallians of the World. http://hercules. kgs. ku. edu/hexacoral/anemone2/index. cfm."
coralreefs,BES,"IMaRS-USF (Institute for Marine Remote Sensing-University of South Florida) (2005). Millennium Coral Reef Mapping Project. Unvalidated maps. These maps are unendorsed by IRD, but were further interpreted by UNEP World Conservation Monitoring Centre. Cambridge (UK): UNEP World Conservation Monitoring Centre"
coralreefs,BES,"IMaRS-USF, IRD (Institut de Recherche pour le Developpement) (2005). Millennium Coral Reef Mapping Project. Validated maps. Cambridge (UK): UNEP World Conservation Monitoring Centre"
seagrasses,BES,"IUCN & UNEP-WCMC. (2003). The World Database on Protected Areas (WDPA) [On-line]. Cambridge, UK: UNEP-WCMC. Available at: www.protectedplanet.net."
cold-water corals,BES,"Meesters, E. H., Wesseling, I., & Bak, R. P. (1996). Partial mortality in three species of reef-building corals and the relation with colony morphology. Bulletin of Marine Science, 58(3), 838-852. DOI: https://doi.org/10.1111/1365-2435.13358"
seagrasses,BES,"Phillips, R.C. (2001). Seagrasses - national status report, Caribbean Region. Draft paper submitted to the UNEP-WCMC Global Seagrass Workshop, St Pete's Beach, Florida, 5-9 November, 2002"
cold-water corals,BES,"Yesson C, Taylor ML, Tittensor DP, Davies AJ, Guinotte J, Baco A, Black J, Hall-Spencer JM, Rogers AD (2012). Global habitat suitability of cold-water Octocorals. Journal of Biogeography 39: 1278-1292. DOI: https://doi.org/10.1111/j.1365-2699.2011.02681.x"
cold-water corals,BES,"Zibrowius, H. (1980). Les scleractiniaires de la Mediterranee et de l'Atlantique nord-oriental. Memoires de l'Institut oceanographique, Monaco. URL: https://www.worldcat.org/title/scleractiniaires-de-la-mediterranee-et-de-latlantique-nord-oriental/oclc/715051958"
mangroves,BGD,"FAO (2007) Mangroves of Asia 1980-2005; Country reports, Forest Resources Assment Working Paper No 136, Rome, FAO"
coralreefs,BGD,"IMaRS-USF, IRD (Institut de Recherche pour le Developpement) (2005). Millennium Coral Reef Mapping Project. Validated maps. Cambridge (UK): UNEP World Conservation Monitoring Centre"
mangroves,BGD,"NASA Landsat Program, 2003, Landsat Imagery, USGS, Sioux Falls, 10/26/2003"
seagrasses,BGD,"Nazrul-Islam, A.K.M. (1980). A marine angiosperm from St. Marin's Island, Bangladesh. 177-178."
saltmarshes,BGR,European Environment Agency. (2011). Corine Land Cover 2006 seamless vector data. Version 15 (08/2011). URL: http://www.eea.europa.eu/data-and-maps/data/clc-2006-vector-data-version-1
mangroves,BHR,"Abbott (1995) Coral Reefs of Bahrain (Arabian Gulf), Unpublished report prepared for ReefBase and UNEP-WCMC."
seagrasses,BHR,"Abdulrahman, H. (1999). Conservation in Bahrain."
coralreefs,BHR,Bahrain Center for Studies and Research (1998). Bahrain Habitat Map.
seagrasses,BHR,Bureau of the Convention on Wetlands. (2003). Ramsar Sites Database Service. Retrieved from https://rsis.ramsar.org
coralreefs,BHR,"Environment Agency-Abu Dhabi, National Coral Reef Institute Florida (NCRI), Dolphin Energy Ltd., WWF - the Emirate Wildlife Society & Ministry of Environment of the State of Qatar. (2006). Arabian Gulf coral reefs."
coralreefs,BHR,Her Majesty's Stationery Office (HSMO) and UK Hydrographic Office. (1987). Jazireh-ye Lavan to Kalat and Ra's Tannurah. British Admiralty Chart No. 2883.
seagrasses,BHR,IUCN/ROPME/UNEP. 1985. An ecological study of sites on the coast of Bahrain. UNEP Regional Seas Reports and Studies 72: ii + 10.
seagrasses,BHR,"Jones, D.A. (1985). The biological characteristics of the marine habitats found within the ROPME (Regional Organization for the Protection of the Marine Environment) sea area (30ø30'N, 47ø50'E, 16ø39'N, 61ø25'E). 71-89."
seagrasses,BHR,National Geographic Society (2000). Coral World. 1:28 510 000. 1 pp.
saltmarshes,BHR,Ramsar Secretariat. Ramsar Sites Information Service. URL: https://rsis.ramsar.org/
seagrasses,BHR,"Scott, D.A. 1995. Bahrain. 38 pp."
cold-water corals,BHS,"Bayer, F. M. (1964). The genus Corallium (Gorgonacea: Scleraxonia) in the western North Atlantic Ocean. Bulletin of Marine Science, 14(3), 465-478."
cold-water corals,BHS,"Bayer, F. M. (1964). The genus Corallium (Gorgonacea: Scleraxonia) in the western North Atlantic Ocean. Bulletin of Marine Science, 14(3), 465-478."
seagrasses,BHS,"Buchan, K.C. (2000). The Bahamas. In: Sheppard, C.R.C. (Ed.) Seas at the Millennium: an environmental evaluation 1: 415-433."
cold-water corals,BHS,"Cairns, S. D. (1979). The deep-water Scleractinia of the Caribbean Sea and adjacent waters. Studies on the Fauna of Curaçao and other Caribbean Islands, 57(1), 1-341."
cold-water corals,BHS,"Cairns, S. D. (2000). A revision of the shallow-water azooxanthellate Scleractinia of the Western Atlantic. Studies on the Fauna of Curacao and other Caribbean Islands."
cold-water corals,BHS,"Cairns, S. D., & Bayer, F. M. (2003). Studies on western Atlantic Octocorallia (Coelenterata: Anthozoa). Part 3. The genus Narella Gray, 1870. Proceedings of the Biological Society of Washington. 116(3): 617-648"
cold-water corals,BHS,"Cairns, S. D., & Bayer, F. M. (2004). Studies on western Atlantic Octocorallia (Coelenterata: Anthozoa). Part 4. The genus Paracalyptrophora Kinoshita, 1908. Proceedings of the Biological Society of Washington."
cold-water corals,BHS,Davies A.J. & Guinotte J.M. (2011) Global Habitat Suitability for Framework-Forming Cold-Water Corals. PLoS ONE 6(4): e18483. DOI: https://doi.org/10.1371/journal.pone.0018483
cold-water corals,BHS,"Fautin, D. G. (2004). Hexacorallians of the World. http://hercules. kgs. ku. edu/hexacoral/anemone2/index. cfm."
cold-water corals,BHS,"France, S. C., & Hoover, L. L. (2002). DNA sequences of the mitochondrial COI gene have low levels of divergence among deep-sea octocorals (Cnidaria: Anthozoa). Hydrobiologia, 471(1-3), 149-155."
seagrasses,BHS,"Gerace, D.T., Ostrander, G.K. & Smith, G.W. (1998). San Salvador, Bahamas. In: Kjerfve, B. (Ed.)  CARICOMP - Caribbean Coral Reef, Seagrass and Mangrove Sites: 229-245."
cold-water corals,BHS,"Hebbeln, D., Wienberg, C., Beuck, L., Dehning, K., Dullo, C., Erberli, G., Freiwald, A., Glogowski, S., Garlichs, T., Jansen, F. & Joseph, N. (2012). Report and preliminary results of R/V MARIA S. MERIAN cruise MSM20-4. WACOM-West-Atlantic Cold-water Coral Ecosystem: The West Side Story, Bridgetown-Freeport, 14 March-07 April 2012."
coralreefs,BHS,"IMaRS-USF, IRD (Institut de Recherche pour le Developpement) (2005). Millennium Coral Reef Mapping Project. Validated maps. Cambridge (UK): UNEP World Conservation Monitoring Centre"
cold-water corals,BHS,"Messing, C. G., Neumann, A. C., & Lang, J. C. (1990). Biozonation of deep-water lithoherms and associated hardgrounds in the northeastern Straits of Florida. Palaios, 5(1), 15-33."
cold-water corals,BHS,"Mullins, H. T., Newton, C. R., Heath, K., & Van Buren, H. M. (1981). Modern deep-water coral mounds north of Little Bahama Bank; criteria for recognition of deep-water coral bioherms in the rock record. Journal of Sedimentary Research, 51(3), 999-1013."
mangroves,BHS,"NASA Landsat Program, 2003, Landsat Imagery, USGS, Sioux Falls, 10/26/2003"
seagrasses,BHS,National Geographic Society (2000). Coral World. 1:28 510 000. 1 pp.
seagrasses,BHS,"Phillips, R. C., & Mehez, E. G. (1988). Seagrasses. Smithsonian Contributions to the Marine Science, 34, 1–110."
saltmarshes,BHS,Ramsar Secretariat. Ramsar Sites Information Service. URL: https://rsis.ramsar.org/
cold-water corals,BHS,"Reed, J. K. (1992). Submersible studies of deep-water Oculina and Lophelia coral banks off southeastern USA."
cold-water corals,BHS,"Rogers, A. D. (1999). The Biology of Lophelia pertusa (Linnaeus 1758) and Other Deep-Water Reef-Forming Corals and Impacts from Human Activities. International review of hydrobiology, 84(4), 315-406. DOI: https://doi.org/10.1002/iroh.199900032"
cold-water corals,BHS,"Smith, J. E., Schwarcz, H. P., Risk, M. J., McCONNAUGHEY, T. A., & Keller, N. (2000). Paleotemperatures from deep-sea corals: overcoming ‘vital effects’. Palaios, 15(1), 25-32."
seagrasses,BHS,"Stanley, S. (ed.). 1995. Marine Region 7: Wider Caribbean. 13-41."
cold-water corals,BHS,"Yesson C, Taylor ML, Tittensor DP, Davies AJ, Guinotte J, Baco A, Black J, Hall-Spencer JM, Rogers AD (2012). Global habitat suitability of cold-water Octocorals. Journal of Biogeography 39: 1278-1292. DOI: https://doi.org/10.1111/j.1365-2699.2011.02681.x"
cold-water corals,BHS,"Zibrowius, H. (1980). Les scleractiniaires de la Mediterranee et de l'Atlantique nord-oriental. Memoires de l'Institut oceanographique, Monaco. URL: https://www.worldcat.org/title/scleractiniaires-de-la-mediterranee-et-de-latlantique-nord-oriental/oclc/715051958"
saltmarshes,BIH,BirdLife International & Conservation International (2013). Global Distribution of Important Bird and Biodiversity Areas (IBAs). Cambridge (UK): BirdLife International. URL: http://www.birdlife.org/datazone/site/search
saltmarshes,BIH,European Environment Agency. (2011). Corine Land Cover 2006 seamless vector data. Version 15 (08/2011). URL: http://www.eea.europa.eu/data-and-maps/data/clc-2006-vector-data-version-1
